Threshold,Accuracy,Precision,Recall,F1_Score,False_Positive_Rate,False_Negative_Rate,Predicted_Higher_Risk_Rate
0.41000000000000003,0.8893045859528677,0.8519356460532931,0.5977072310405643,0.7025290215588723,0.029076368662684503,0.4022927689594356,0.15343078643884753
0.42000000000000004,0.8900374127357581,0.8620601078859491,0.5918871252204585,0.7018717975530692,0.026509354790936468,0.40811287477954145,0.15015235083117986
0.43,0.8905388205345779,0.8708748035620744,0.5864197530864198,0.700885328836425,0.02433726613022659,0.41358024691358025,0.1472596135302966
0.44,0.8906930998572916,0.87773042088439,0.5811287477954145,0.6992784380305602,0.02265883398331441,0.41887125220458554,0.14479114436687623
0.45,0.8906930998572916,0.8836580086580087,0.5760141093474427,0.6974161862054239,0.021227230093301082,0.4239858906525573,0.14255409418752651
0.46,0.89073166968797,0.890448665015139,0.5705467372134039,0.6954745780930882,0.019647529249148442,0.4294532627865961,0.14012419485478458
0.47000000000000003,0.8907702395186485,0.8968120805369127,0.5656084656084656,0.6937053861129137,0.018215925359135115,0.4343915343915344,0.13792571450611332
0.48000000000000004,0.890461680873221,0.9019886363636364,0.5599647266313933,0.690968443960827,0.017031149726020635,0.4400352733686067,0.1357658039881205
0.49,0.890114552397115,0.9066013260305563,0.5546737213403881,0.6882591093117408,0.015994471047045464,0.445326278659612,0.13379874262351987
0.5,0.8901916920584718,0.9118762766267873,0.5511463844797179,0.6870396834121139,0.014908426716690527,0.4488536155202822,0.13217880973502527
0.51,0.8899217032437228,0.9170616113744076,0.546031746031746,0.6845014370992704,0.013822382386335588,0.45396825396825397,0.13021174837042465
0.52,0.8897288540903305,0.9206824304100568,0.5425044091710758,0.6827211186327822,0.013081897615639038,0.45749559082892416,0.12886180429667915
0.53,0.8898831334130444,0.9253550921728619,0.5400352733686067,0.682035861454505,0.01219331589080318,0.4599647266313933,0.12762756971496894
0.54,0.8898831334130444,0.9305598042214744,0.5365079365079365,0.6806130439646493,0.01120600286320778,0.4634920634920635,0.12608477648783123
